"godina","opstina","vakcina","planirano","vakcinisano"
2020,"Tутин","bOPV rev. 2",420,350
2020,"Tутин","bOPV rev. 3",500,390
2020,"Tутин","DT rev. 2",420,350
2021,"Tутин","DT rev. 2",470,420
2020,"Tутин","dT rev. 3",500,390
2021,"Tутин","dT rev. 3",480,200
2020,"Tутин","DTаP-IPV-Hib",450,370
2021,"Tутин","DTаP-IPV-Hib",450,390
2020,"Tутин","DTаP-IPV-Hib rev. 1",470,370
2021,"Tутин","DTаP-IPV-Hib rev. 1",460,420
2020,"Tутин","Hep B",450,361
2021,"Tутин","Hep B",450,390
2021,"Tутин","IPV rev. 2",470,420
2020,"Tутин","MMR 1",450,380
2021,"Tутин","MMR 1",460,370
2020,"Tутин","MMR 2",420,365
2021,"Tутин","MMR 2",470,302
2020,"Tутин","PCV 10",450,361
2021,"Tутин","PCV 10",450,390
2020,"Tутин","PCV 10 rev.",0,0
2021,"Tутин","PCV 10 rev.",460,420
2020,"Ада","bOPV rev. 2",126,123
2020,"Ада","bOPV rev. 3",143,143
2020,"Ада","DT rev. 2",126,123
2021,"Ада","DT rev. 2",148,148
2020,"Ада","dT rev. 3",143,143
2021,"Ада","dT rev. 3",129,129
2020,"Ада","DTаP-IPV-Hib",126,125
2021,"Ада","DTаP-IPV-Hib",128,120
2020,"Ада","DTаP-IPV-Hib rev. 1",126,108
2021,"Ада","DTаP-IPV-Hib rev. 1",136,131
2020,"Ада","Hep B",126,126
2020,"Ада","Hep B",,3
2021,"Ада","Hep B",128,126
2021,"Ада","IPV rev. 2",148,148
2020,"Ада","MMR 1",127,127
2021,"Ада","MMR 1",136,127
2020,"Ада","MMR 2",126,98
2021,"Ада","MMR 2",148,148
2020,"Ада","PCV 10",126,121
2021,"Ада","PCV 10",128,120
2020,"Ада","PCV 10 rev.",126,112
2021,"Ада","PCV 10 rev.",136,127
2020,"Александровац","bOPV rev. 2",167,165
2020,"Александровац","bOPV rev. 3",195,188
2020,"Александровац","DT rev. 2",167,165
2021,"Александровац","DT rev. 2",186,185
2020,"Александровац","dT rev. 3",195,188
2021,"Александровац","dT rev. 3",213,213
2020,"Александровац","DTаP-IPV-Hib",165,165
2021,"Александровац","DTаP-IPV-Hib",174,172
2020,"Александровац","DTаP-IPV-Hib rev. 1",186,168
2021,"Александровац","DTаP-IPV-Hib rev. 1",160,147
2020,"Александровац","Hep B",165,165
2021,"Александровац","Hep B",174,170
2021,"Александровац","IPV rev. 2",186,176
2020,"Александровац","MMR 1",186,185
2021,"Александровац","MMR 1",165,160
2020,"Александровац","MMR 2",167,167
2021,"Александровац","MMR 2",186,184
2021,"Александровац","MMR 2",,7
2020,"Александровац","PCV 10",165,165
2021,"Александровац","PCV 10",174,172
2020,"Александровац","PCV 10 rev.",186,168
2021,"Александровац","PCV 10 rev.",160,147
2020,"Алексинац","bOPV rev. 2",353,114
2020,"Алексинац","bOPV rev. 3",461,41
2020,"Алексинац","DT rev. 2",353,114
2021,"Алексинац","DT rev. 2",360,320
2020,"Алексинац","dT rev. 3",461,410
2021,"Алексинац","dT rev. 3",603,603
2020,"Алексинац","DTаP-IPV-Hib",375,291
2021,"Алексинац","DTаP-IPV-Hib",360,337
2020,"Алексинац","DTаP-IPV-Hib rev. 1",400,282
2021,"Алексинац","DTаP-IPV-Hib rev. 1",375,324
2020,"Алексинац","Hep B",375,314
2020,"Алексинац","Hep B",,12
2021,"Алексинац","Hep B",360,346
2021,"Алексинац","Hep B",,12
2021,"Алексинац","IPV rev. 2",360,320
2020,"Алексинац","MMR 1",400,246
2021,"Алексинац","MMR 1",375,365
2021,"Алексинац","MMR 1",,15
2021,"Алексинац","MMR 1+2",,8
2020,"Алексинац","MMR 2",353,297
2021,"Алексинац","MMR 2",360,310
2021,"Алексинац","MMR 2",,10
2020,"Алексинац","PCV 10",375,274
2021,"Алексинац","PCV 10",360,340
2020,"Алексинац","PCV 10 rev.",700,190
2021,"Алексинац","PCV 10 rev.",375,289
2020,"Алибунар","bOPV rev. 2",156,151
2020,"Алибунар","bOPV rev. 3",165,165
2020,"Алибунар","DT rev. 2",156,107
2021,"Алибунар","DT rev. 2",166,164
2020,"Алибунар","dT rev. 3",165,165
2021,"Алибунар","dT rev. 3",170,168
2020,"Алибунар","DTаP-IPV-Hib",148,140
2021,"Алибунар","DTаP-IPV-Hib",142,142
2020,"Алибунар","DTаP-IPV-Hib rev. 1",156,153
2021,"Алибунар","DTаP-IPV-Hib rev. 1",151,140
2020,"Алибунар","Hep B",145,132
2021,"Алибунар","Hep B",144,141
2021,"Алибунар","IPV rev. 2",166,166
2020,"Алибунар","MMR 1",164,151
2021,"Алибунар","MMR 1",152,152
2021,"Алибунар","MMR 1",,4
2020,"Алибунар","MMR 2",156,156
2021,"Алибунар","MMR 2",165,165
2020,"Алибунар","PCV 10",148,139
2021,"Алибунар","PCV 10",142,142
2020,"Алибунар","PCV 10 rev.",151,148
2021,"Алибунар","PCV 10 rev.",151,146
2020,"Апатин","bOPV rev. 2",223,178
2020,"Апатин","bOPV rev. 3",289,269
2020,"Апатин","DT rev. 2",223,178
2021,"Апатин","DT rev. 2",313,303
2020,"Апатин","dT rev. 3",289,210
2021,"Апатин","dT rev. 3",353,342
2020,"Апатин","DTаP-IPV-Hib",178,178
2021,"Апатин","DTаP-IPV-Hib",277,235
2020,"Апатин","DTаP-IPV-Hib rev. 1",178,166
2021,"Апатин","DTаP-IPV-Hib rev. 1",284,244
2020,"Апатин","Hep B",178,178
2020,"Апатин","Hep B",,69
2021,"Апатин","Hep B",277,235
2021,"Апатин","IPV rev. 2",313,303
2020,"Апатин","MMR 1",178,154
2021,"Апатин","MMR 1",282,233
2020,"Апатин","MMR 2",223,173
2021,"Апатин","MMR 2",313,303
2020,"Апатин","PCV 10",178,168
2021,"Апатин","PCV 10",277,235
2020,"Апатин","PCV 10 rev.",235,225
2021,"Апатин","PCV 10 rev.",282,244
2020,"Аранђеловац","bOPV rev. 2",340,285
2020,"Аранђеловац","bOPV rev. 3",449,416
2020,"Аранђеловац","DT rev. 2",340,214
2021,"Аранђеловац","DT rev. 2",400,358
2020,"Аранђеловац","dT rev. 3",449,446
2021,"Аранђеловац","dT rev. 3",470,410
2020,"Аранђеловац","DTаP-IPV-Hib",388,386
2021,"Аранђеловац","DTаP-IPV-Hib",385,352
2020,"Аранђеловац","DTаP-IPV-Hib rev. 1",385,385
2021,"Аранђеловац","DTаP-IPV-Hib rev. 1",388,380
2020,"Аранђеловац","Hep B",388,386
2021,"Аранђеловац","Hep B",385,354
2021,"Аранђеловац","IPV rev. 2",400,382
2020,"Аранђеловац","MMR 1",383,344
2021,"Аранђеловац","MMR 1",388,379
2020,"Аранђеловац","MMR 2",340,310
2021,"Аранђеловац","MMR 2",400,362
2020,"Аранђеловац","PCV 10",388,385
2021,"Аранђеловац","PCV 10",385,331
2020,"Аранђеловац","PCV 10 rev.",383,292
2021,"Аранђеловац","PCV 10 rev.",388,341
2020,"Ариље","bOPV rev. 2",156,154
2020,"Ариље","bOPV rev. 3",179,177
2020,"Ариље","DT rev. 2",156,149
2021,"Ариље","DT rev. 2",163,162
2020,"Ариље","dT rev. 3",179,177
2021,"Ариље","dT rev. 3",171,167
2020,"Ариље","DTаP-IPV-Hib",169,169
2021,"Ариље","DTаP-IPV-Hib",134,130
2020,"Ариље","DTаP-IPV-Hib rev. 1",142,133
2021,"Ариље","DTаP-IPV-Hib rev. 1",160,135
2020,"Ариље","Hep B",160,160
2021,"Ариље","Hep B",134,126
2021,"Ариље","Hep B",,3
2021,"Ариље","IPV rev. 2",163,162
2020,"Ариље","MMR 1",148,110
2020,"Ариље","MMR 1",,20
2021,"Ариље","MMR 1",150,110
2021,"Ариље","MMR 1",,40
2020,"Ариље","MMR 2",156,153
2020,"Ариље","MMR 2",,2
2021,"Ариље","MMR 2",163,162
2021,"Ариље","MMR 2",,3
2020,"Ариље","PCV 10",169,169
2021,"Ариље","PCV 10",134,130
2020,"Ариље","PCV 10 rev.",142,133
2021,"Ариље","PCV 10 rev.",160,135
2020,"Бабушница","bOPV rev. 2",58,58
2020,"Бабушница","bOPV rev. 3",77,77
2020,"Бабушница","DT rev. 2",58,58
2021,"Бабушница","DT rev. 2",74,72
2020,"Бабушница","dT rev. 3",77,77
2021,"Бабушница","dT rev. 3",83,0
2020,"Бабушница","DTаP-IPV-Hib",60,48
2021,"Бабушница","DTаP-IPV-Hib",40,34
2020,"Бабушница","DTаP-IPV-Hib rev. 1",60,53
2021,"Бабушница","DTаP-IPV-Hib rev. 1",57,43
2020,"Бабушница","Hep B",60,48
2021,"Бабушница","Hep B",40,36
2021,"Бабушница","IPV rev. 2",74,70
2020,"Бабушница","MMR 1",60,51
2021,"Бабушница","MMR 1",37,34
2021,"Бабушница","MMR 1",,6
2020,"Бабушница","MMR 2",58,54
2020,"Бабушница","MMR 2",,5
2021,"Бабушница","MMR 2",74,73
2021,"Бабушница","MMR 2",,3
2020,"Бабушница","PCV 10",60,48
2021,"Бабушница","PCV 10",40,34
2020,"Бабушница","PCV 10 rev.",60,53
2021,"Бабушница","PCV 10 rev.",37,33
2020,"Бајна Башта","bOPV rev. 2",187,187
2020,"Бајна Башта","bOPV rev. 3",240,0
2020,"Бајна Башта","DT rev. 2",180,138
2021,"Бајна Башта","DT rev. 2",207,207
2020,"Бајна Башта","dT rev. 3",240,0
2021,"Бајна Башта","dT rev. 3",260,260
2020,"Бајна Башта","DTаP-IPV-Hib",220,190
2021,"Бајна Башта","DTаP-IPV-Hib",175,151
2020,"Бајна Башта","DTаP-IPV-Hib rev. 1",220,194
2021,"Бајна Башта","DTаP-IPV-Hib rev. 1",180,173
2020,"Бајна Башта","Hep B",220,186
2021,"Бајна Башта","Hep B",175,154
2021,"Бајна Башта","IPV rev. 2",207,207
2020,"Бајна Башта","MMR 1",180,175
2021,"Бајна Башта","MMR 1",175,160
2020,"Бајна Башта","MMR 2",186,186
2021,"Бајна Башта","MMR 2",207,207
2020,"Бајна Башта","PCV 10",220,190
2021,"Бајна Башта","PCV 10",175,151
2020,"Бајна Башта","PCV 10 rev.",220,194
2021,"Бајна Башта","PCV 10 rev.",180,165
2020,"Барајево","bOPV rev. 2",290,189
2020,"Барајево","bOPV rev. 3",260,226
2020,"Барајево","DT rev. 2",260,132
2021,"Барајево","DT rev. 2",200,168
2020,"Барајево","dT rev. 3",270,247
2021,"Барајево","dT rev. 3",250,210
2020,"Барајево","DTаP-IPV-Hib",260,167
2021,"Барајево","DTаP-IPV-Hib",200,173
2020,"Барајево","DTаP-IPV-Hib rev. 1",237,159
2021,"Барајево","DTаP-IPV-Hib rev. 1",200,155
2020,"Барајево","Hep B",240,191
2021,"Барајево","Hep B",200,158
2021,"Барајево","IPV rev. 2",200,182
2020,"Барајево","MMR 1",284,172
2021,"Барајево","MMR 1",200,108
2021,"Барајево","MMR 1",,31
2021,"Барајево","MMR 1+2",,7
2020,"Барајево","MMR 2",295,200
2020,"Барајево","MMR 2",,6
2021,"Барајево","MMR 2",200,171
2021,"Барајево","MMR 2",,7
2020,"Барајево","PCV 10",230,172
2021,"Барајево","PCV 10",200,173
2020,"Барајево","PCV 10 rev.",230,145
2021,"Барајево","PCV 10 rev.",200,155
2020,"Баточина","bOPV rev. 2",81,79
2020,"Баточина","bOPV rev. 3",105,88
2020,"Баточина","DT rev. 2",81,80
2021,"Баточина","DT rev. 2",81,78
2020,"Баточина","dT rev. 3",105,89
2021,"Баточина","dT rev. 3",96,91
2020,"Баточина","DTаP-IPV-Hib",82,79
